[2025-01-18 21:28:47] This is codeql dataset import -J-Xmx6858M --verbosity=progress --logdir=/mnt/c/GitHub/SpeQL/database/azure-api-db/log --dbscheme=/usr/local/codeql/javascript/semmlecode.javascript.dbscheme --threads=12 -- /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript /mnt/c/GitHub/SpeQL/database/azure-api-db/trap/javascript
[2025-01-18 21:28:47] Clearing disk cache since the version file /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache/version does not exist
[2025-01-18 21:28:47] Tuple pool not found. Clearing relations with cached strings
[2025-01-18 21:28:47] Trimming disk cache at /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache in mode clear.
[2025-01-18 21:28:47] Sequence stamp origin is -6092515357382079983
[2025-01-18 21:28:47] Pausing evaluation to hard-clear memory at sequence stamp o+0
[2025-01-18 21:28:47] Unpausing evaluation
[2025-01-18 21:28:47] Pausing evaluation to quickly trim disk at sequence stamp o+1
[2025-01-18 21:28:47] Unpausing evaluation
[2025-01-18 21:28:47] Pausing evaluation to zealously trim disk at sequence stamp o+2
[2025-01-18 21:28:47] Unpausing evaluation
[2025-01-18 21:28:47] Trimming completed (21ms): Purged everything.
[2025-01-18 21:28:48] Scanning for files in /mnt/c/GitHub/SpeQL/database/azure-api-db/trap/javascript
[2025-01-18 21:28:52] Found 310 TRAP files (2.27 MiB)
[2025-01-18 21:28:52] [PROGRESS] dataset import> Importing TRAP files
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_ListContentCallbackUrl.json.trap.gz (12 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_Get.json.trap.gz (10 of 310)
[2025-01-18 21:28:52] Importing logic.json.trap.gz (4 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_CreateOrUpdate.json.trap.gz (8 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_CreateOrUpdate.json.trap.gz (1 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_ListContentCallbackUrl.json.trap.gz (7 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_List.json.trap.gz (11 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_List.json.trap.gz (6 of 310)
[2025-01-18 21:28:52] Importing logic.json.trap.gz (3 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_Delete.json.trap.gz (2 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_Delete.json.trap.gz (9 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_Get.json.trap.gz (5 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_CreateOrUpdate.json.trap.gz (13 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_Delete.json.trap.gz (14 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_Get.json.trap.gz (15 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_List.json.trap.gz (16 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountCertificates_CreateOrUpdate.json.trap.gz (17 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountCertificates_Delete.json.trap.gz (18 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountCertificates_Get.json.trap.gz (19 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountCertificates_List.json.trap.gz (20 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountMaps_CreateOrUpdate.json.trap.gz (21 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountMaps_Delete.json.trap.gz (22 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountMaps_Get.json.trap.gz (23 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountMaps_List.json.trap.gz (24 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountMaps_ListContentCallbackUrl.json.trap.gz (25 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountPartners_CreateOrUpdate.json.trap.gz (26 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountPartners_Delete.json.trap.gz (27 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountPartners_Get.json.trap.gz (28 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountPartners_List.json.trap.gz (29 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountPartners_ListContentCallbackUrl.json.trap.gz (30 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSchemas_CreateOrUpdate.json.trap.gz (31 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSchemas_Delete.json.trap.gz (32 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSchemas_Get.json.trap.gz (33 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSchemas_List.json.trap.gz (34 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSchemas_ListContentCallbackUrl.json.trap.gz (35 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSessions_CreateOrUpdate.json.trap.gz (36 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSessions_Delete.json.trap.gz (37 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSessions_Get.json.trap.gz (38 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountSessions_List.json.trap.gz (39 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_CreateOrUpdate.json.trap.gz (40 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_Delete.json.trap.gz (41 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_Get.json.trap.gz (42 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_ListByResourceGroup.json.trap.gz (43 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_ListBySubscription.json.trap.gz (44 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_ListCallbackUrl.json.trap.gz (45 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_ListKeyVaultKeys.json.trap.gz (46 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_LogTrackingEvents.json.trap.gz (47 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_RegenerateAccessKey.json.trap.gz (48 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccounts_Update.json.trap.gz (49 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironmentManagedApiApiOperations_List.json.trap.gz (50 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironmentManagedApis_List.json.trap.gz (52 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironmentManagedApis_Get.json.trap.gz (51 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironments_Delete.json.trap.gz (53 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironments_Get.json.trap.gz (54 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironments_ListByResourceGroup.json.trap.gz (55 of 310)
[2025-01-18 21:28:52] Importing IntegrationServiceEnvironments_ListBySubscription.json.trap.gz (56 of 310)
[2025-01-18 21:28:52] Importing Operations_List.json.trap.gz (57 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsRequestHistories_Get.json.trap.gz (58 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsRequestHistories_List.json.trap.gz (59 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitions_Get.json.trap.gz (60 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitions_List.json.trap.gz (61 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitions_ListExpressionTraces.json.trap.gz (62 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRequestHistories_Get.json.trap.gz (63 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRequestHistories_List.json.trap.gz (64 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionScopeRepetitions_Get.json.trap.gz (65 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionScopeRepetitions_List.json.trap.gz (66 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActions_Get.json.trap.gz (67 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActions_List.json.trap.gz (68 of 310)
